Humidity3pm,Humidity9am,Sunshine,Cloud3pm,Pressure3pm,Temp3pm,Rainfall,WindGustSpeed,Location
59.0,87.0,8.4,,1016.0,18.1,0.4,54.0,Portland
60.0,79.0,7.2,2.0,1014.3,13.6,0.0,56.0,MelbourneAirport
48.0,69.0,,2.0,1029.8,9.3,0.6,33.0,Bendigo
59.0,100.0,,,1014.1,28.4,2.2,48.0,BadgerysCreek
60.0,68.0,2.7,7.0,1011.6,14.1,0.0,24.0,Cobar
53.0,56.0,,,1007.7,29.5,,33.0,AliceSprings
,,,,,13.8,0.0,69.0,Penrith
60.0,69.0,9.4,1.0,1022.3,17.6,9.0,35.0,SydneyAirport
82.0,77.0,1.9,7.0,1028.4,16.8,0.0,57.0,SydneyAirport
57.0,92.0,8.7,,1032.3,13.0,0.0,20.0,Nuriootpa
78.0,91.0,4.2,8.0,1013.9,12.1,1.8,54.0,Portland
54.0,88.0,,8.0,1014.8,12.3,4.4,57.0,MountGambier
86.0,93.0,0.9,8.0,1008.6,20.0,5.4,31.0,Canberra
68.0,99.0,8.2,,1015.8,16.5,7.4,41.0,Dartmoor
77.0,94.0,,,1020.8,16.0,0.2,31.0,Witchcliffe
60.0,69.0,,,1028.0,21.5,0.0,57.0,GoldCoast
37.0,81.0,,,1022.7,19.4,0.0,19.0,Richmond
22.0,65.0,10.0,0.0,1023.2,20.3,0.0,35.0,Moree
63.0,84.0,,4.0,,24.5,0.4,,Newcastle
85.0,97.0,1.1,8.0,1024.7,6.4,0.0,20.0,Canberra
56.0,85.0,7.2,4.0,1026.7,21.8,0.0,35.0,Brisbane
49.0,73.0,0.5,7.0,1008.5,22.9,0.0,,Sydney
46.0,73.0,,,,30.0,0.0,43.0,Penrith
46.0,69.0,11.9,5.0,1017.4,21.0,0.0,31.0,Sale
,87.0,,,,,1.8,,Newcastle
57.0,67.0,,7.0,1007.1,18.4,0.0,67.0,MountGambier
54.0,57.0,5.3,7.0,1012.9,21.5,0.0,52.0,MountGambier
24.0,56.0,,0.0,1014.5,32.0,0.0,22.0,Katherine
88.0,97.0,4.6,8.0,1014.6,20.6,1.8,35.0,NorfolkIsland
78.0,72.0,0.0,7.0,1005.0,13.8,0.6,54.0,WaggaWagga
87.0,90.0,0.0,8.0,1015.5,10.5,2.6,,Sydney
47.0,63.0,,,1019.7,20.4,0.0,35.0,Witchcliffe
60.0,51.0,5.4,4.0,995.4,6.9,0.0,85.0,Hobart
48.0,79.0,5.7,2.0,1013.6,29.6,0.6,33.0,Cairns
69.0,87.0,1.3,7.0,1022.1,14.1,0.0,22.0,WaggaWagga
29.0,72.0,10.9,0.0,1010.3,30.3,0.0,39.0,Darwin
21.0,54.0,12.4,1.0,1020.1,28.9,0.0,43.0,Moree
41.0,56.0,10.2,1.0,1018.6,22.8,0.0,33.0,Perth
77.0,82.0,6.5,7.0,1008.4,21.6,0.0,,Albany
7.0,34.0,10.8,0.0,1012.2,37.7,0.0,33.0,Woomera
98.0,98.0,,,,4.7,12.4,26.0,MountGinini
29.0,44.0,10.3,0.0,1013.1,18.6,0.0,33.0,Brisbane
76.0,71.0,11.5,1.0,1009.8,26.7,0.0,57.0,CoffsHarbour
63.0,91.0,,8.0,1024.0,14.6,4.2,44.0,MountGambier
18.0,44.0,,,1018.0,25.2,0.0,37.0,Williamtown
69.0,66.0,,,1027.6,19.1,0.0,46.0,Wollongong
71.0,62.0,,,1015.3,24.1,0.0,26.0,Wollongong
17.0,20.0,,6.0,1007.2,37.4,0.0,39.0,Cobar
23.0,59.0,13.3,0.0,1011.7,31.8,0.0,37.0,MountGambier
44.0,54.0,12.6,,1015.4,26.1,0.0,37.0,PearceRAAF
99.0,100.0,,7.0,1016.1,16.0,20.6,57.0,Ballarat
42.0,56.0,10.1,1.0,1019.2,19.0,0.0,20.0,Brisbane
42.0,74.0,,,,24.5,12.2,46.0,Penrith
15.0,39.0,11.1,1.0,1017.5,24.9,0.0,28.0,AliceSprings
71.0,78.0,0.1,7.0,1029.6,12.8,0.0,30.0,MelbourneAirport
82.0,75.0,0.0,8.0,1018.2,17.5,0.6,19.0,Brisbane
98.0,100.0,,8.0,1023.7,11.1,0.8,41.0,Ballarat
,57.0,,,1009.0,,0.0,22.0,Katherine
64.0,68.0,3.8,7.0,1007.9,30.3,4.4,30.0,Brisbane
84.0,92.0,,,1006.0,11.9,12.2,28.0,Walpole
25.0,71.0,,,1018.8,29.0,0.0,35.0,BadgerysCreek
32.0,36.0,11.9,1.0,1013.7,22.3,0.0,65.0,CoffsHarbour
52.0,77.0,13.1,3.0,999.9,31.1,0.0,35.0,Moree
67.0,66.0,0.3,8.0,1012.9,22.2,0.0,15.0,Brisbane
28.0,73.0,,,1020.8,23.2,0.0,48.0,Ballarat
52.0,66.0,,,1018.9,18.5,0.0,31.0,Dartmoor
52.0,22.0,,,,6.9,0.0,33.0,MountGinini
52.0,100.0,7.8,6.0,1022.9,18.6,0.0,20.0,Watsonia
37.0,64.0,9.1,6.0,1018.5,18.8,0.0,46.0,Nuriootpa
50.0,64.0,,,1027.1,19.7,0.0,43.0,Bendigo
32.0,65.0,10.1,2.0,1016.7,27.4,0.0,26.0,WaggaWagga
68.0,82.0,0.2,7.0,1007.6,13.6,2.0,30.0,MelbourneAirport
44.0,86.0,9.3,1.0,1017.4,23.0,0.6,24.0,Perth
40.0,54.0,,,1017.1,22.8,0.0,31.0,Richmond
81.0,33.0,11.8,2.0,1008.7,20.0,0.0,65.0,SydneyAirport
73.0,62.0,,,1000.6,18.9,0.0,54.0,Walpole
44.0,68.0,,,1014.3,16.7,0.0,20.0,NorahHead
52.0,58.0,12.2,1.0,1017.7,25.2,0.2,26.0,Brisbane
34.0,79.0,,,1020.1,15.7,1.0,35.0,Richmond
77.0,95.0,,,1017.6,16.8,2.4,96.0,NorahHead
72.0,83.0,,4.0,1021.0,23.0,16.0,26.0,Wollongong
66.0,82.0,,7.0,1019.7,12.8,0.0,28.0,Albury
78.0,99.0,,,1011.5,17.5,9.2,35.0,Walpole
52.0,91.0,,,1023.6,14.5,0.6,20.0,Launceston
14.0,48.0,12.0,2.0,1002.9,37.8,0.0,41.0,AliceSprings
37.0,82.0,,,1017.0,18.9,0.0,43.0,Tuggeranong
61.0,99.0,,1.0,1022.5,15.2,0.0,17.0,Albury
52.0,51.0,,,,20.4,0.0,33.0,MountGinini
53.0,86.0,,3.0,,29.2,0.4,,Newcastle
46.0,70.0,7.3,6.0,1019.3,20.7,0.0,61.0,MelbourneAirport
63.0,78.0,,,1010.6,22.4,4.2,46.0,Walpole
43.0,80.0,8.0,1.0,1009.1,22.6,0.0,39.0,MountGambier
30.0,56.0,,,1006.5,24.9,0.0,35.0,Walpole
50.0,85.0,8.8,4.0,1020.8,19.0,10.9,37.0,PearceRAAF
61.0,87.0,5.5,3.0,1010.1,28.7,2.6,26.0,Townsville
59.0,62.0,8.9,8.0,,27.0,0.0,46.0,Canberra
93.0,95.0,0.3,7.0,1019.3,15.1,9.2,41.0,Williamtown
63.0,73.0,,,1011.0,18.2,0.0,44.0,NorahHead
75.0,75.0,10.0,2.0,1013.8,23.9,2.6,43.0,NorfolkIsland
77.0,97.0,,8.0,1008.8,8.1,4.0,59.0,Ballarat
74.0,87.0,,6.0,1027.5,15.1,2.4,31.0,Williamtown
48.0,77.0,,,1026.9,18.7,0.0,26.0,BadgerysCreek
78.0,92.0,,,,17.4,2.0,20.0,SalmonGums
24.0,54.0,10.8,4.0,1019.8,21.6,0.0,30.0,Mildura
31.0,68.0,12.7,4.0,1011.1,33.6,0.0,43.0,Moree
43.0,47.0,,,1008.4,20.6,0.0,37.0,Adelaide
44.0,52.0,13.2,1.0,1006.6,30.1,0.0,44.0,Perth
34.0,44.0,,,,18.1,1.0,46.0,Penrith
53.0,86.0,,,1011.5,26.3,0.2,43.0,Nhil
53.0,85.0,0.1,7.0,1021.9,16.1,0.0,30.0,Mildura
42.0,83.0,7.1,6.0,1010.8,14.4,7.0,63.0,WaggaWagga
57.0,99.0,9.4,2.0,1024.0,13.7,0.0,19.0,Mildura
61.0,57.0,,,,19.0,0.0,,CoffsHarbour
54.0,98.0,,1.0,1019.5,20.6,0.0,54.0,Ballarat
51.0,79.0,,,1013.5,29.2,0.0,54.0,BadgerysCreek
46.0,62.0,7.4,2.0,1016.7,20.6,0.0,26.0,AliceSprings
52.0,94.0,10.6,2.0,1024.7,18.0,0.2,37.0,Watsonia
57.0,59.0,,4.0,1016.3,18.2,0.0,28.0,NorfolkIsland
42.0,81.0,9.5,,1021.9,18.0,2.0,37.0,Adelaide
76.0,84.0,0.0,8.0,1013.6,18.8,3.8,17.0,Brisbane
59.0,78.0,,3.0,1026.6,11.2,0.0,43.0,Ballarat
,,1.1,,1010.4,29.0,0.0,63.0,Dartmoor
71.0,66.0,7.2,7.0,1023.4,9.5,7.8,54.0,Sale
24.0,50.0,11.0,2.0,1005.8,33.8,0.0,33.0,Darwin
8.0,28.0,12.8,2.0,1012.1,35.6,0.0,39.0,Moree
77.0,90.0,,,1019.2,23.8,5.0,31.0,NorahHead
98.0,93.0,,,,8.2,0.0,31.0,MountGinini
38.0,57.0,12.9,3.0,1006.9,34.8,0.0,37.0,Williamtown
44.0,68.0,11.0,,1020.4,22.3,0.0,41.0,PearceRAAF
40.0,81.0,8.4,,1026.7,17.8,0.0,33.0,Nuriootpa
88.0,80.0,,8.0,1007.1,28.1,61.6,50.0,Cairns
57.0,68.0,10.3,1.0,1015.3,26.6,0.0,30.0,CoffsHarbour
43.0,57.0,,,1015.3,27.0,0.0,46.0,Witchcliffe
34.0,47.0,,1.0,1017.6,16.4,0.0,72.0,Wollongong
53.0,59.0,11.2,7.0,1015.1,28.5,0.0,37.0,Townsville
60.0,68.0,,,1019.3,22.5,0.0,48.0,MountGambier
15.0,42.0,13.2,0.0,1008.2,31.7,0.0,44.0,Woomera
26.0,44.0,13.0,1.0,1003.0,35.1,0.0,48.0,PearceRAAF
83.0,93.0,,,,10.6,12.6,44.0,SalmonGums
66.0,74.0,6.5,7.0,1004.1,30.3,6.8,43.0,Darwin
66.0,83.0,,,1022.6,22.1,0.6,35.0,Wollongong
56.0,57.0,,,1023.3,24.3,0.0,31.0,BadgerysCreek
6.0,17.0,10.0,,1013.5,32.5,0.0,33.0,AliceSprings
72.0,100.0,,8.0,1007.9,15.9,4.8,48.0,Portland
40.0,59.0,,,1018.7,16.7,0.0,48.0,Williamtown
23.0,66.0,,,1013.4,27.6,1.4,50.0,Nhil
43.0,53.0,,,1016.4,20.6,0.4,48.0,Witchcliffe
32.0,61.0,8.4,7.0,1020.2,23.9,0.0,30.0,Moree
42.0,67.0,8.6,2.0,1011.5,16.7,0.0,,Sydney
75.0,87.0,,6.0,,19.0,1.8,,Newcastle
23.0,37.0,,1.0,1000.7,35.7,0.0,35.0,AliceSprings
24.0,48.0,11.9,1.0,1016.1,32.4,0.0,63.0,Melbourne
43.0,100.0,,,1011.5,20.7,0.2,44.0,BadgerysCreek
77.0,95.0,3.0,,1012.2,12.4,2.8,56.0,Adelaide
68.0,83.0,,,1016.7,22.9,,35.0,Walpole
63.0,99.0,,,1028.6,14.5,0.0,11.0,Albury
39.0,57.0,9.9,1.0,1016.2,19.9,0.0,54.0,SydneyAirport
39.0,68.0,9.3,5.0,1019.2,19.5,0.0,,Canberra
69.0,100.0,,,1019.1,20.0,0.0,15.0,BadgerysCreek
60.0,80.0,1.8,6.0,1013.4,16.7,6.0,33.0,PerthAirport
49.0,66.0,,,1011.9,27.9,0.0,28.0,Cairns
35.0,99.0,,,1014.9,23.0,0.0,20.0,Witchcliffe
52.0,66.0,,,1010.4,23.9,0.0,39.0,GoldCoast
83.0,78.0,4.2,8.0,1012.8,18.7,0.0,57.0,PerthAirport
15.0,30.0,13.0,3.0,1008.1,35.4,0.0,43.0,Perth
31.0,74.0,3.1,7.0,1011.8,31.0,0.0,39.0,WaggaWagga
41.0,67.0,,,1028.4,18.4,0.0,30.0,Bendigo
68.0,67.0,4.5,7.0,1004.6,13.2,0.0,39.0,Melbourne
56.0,91.0,3.1,7.0,1019.6,9.8,0.0,41.0,Watsonia
35.0,72.0,,,,25.5,0.0,28.0,SalmonGums
88.0,,,,,0.9,0.0,65.0,MountGinini
38.0,65.0,,,1002.1,15.9,0.0,63.0,Nhil
31.0,52.0,9.4,2.0,1013.2,15.2,0.0,76.0,Woomera
57.0,52.0,13.2,1.0,1010.1,29.5,0.0,31.0,Brisbane
36.0,51.0,,,1008.9,19.1,0.0,50.0,Wollongong
39.0,48.0,12.3,1.0,,23.2,0.0,39.0,Sydney
52.0,70.0,11.6,7.0,1004.3,33.6,7.8,35.0,Townsville
56.0,65.0,8.0,4.0,1014.2,22.0,0.0,19.0,NorfolkIsland
49.0,71.0,,2.0,1023.4,17.6,0.0,50.0,Bendigo
67.0,74.0,,,1004.7,16.2,0.0,24.0,NorahHead
46.0,60.0,10.1,1.0,1011.9,23.8,0.0,37.0,Melbourne
69.0,77.0,,,1007.3,15.6,0.2,67.0,GoldCoast
48.0,100.0,9.3,1.0,1009.4,19.2,0.8,61.0,Sydney
85.0,86.0,,,1003.9,12.6,7.4,81.0,Walpole
97.0,97.0,,,,2.4,0.8,59.0,MountGinini
18.0,45.0,,,,28.4,0.0,39.0,SalmonGums
19.0,38.0,11.2,1.0,1016.5,34.1,0.0,33.0,Woomera
44.0,83.0,,,1016.1,14.9,5.4,39.0,Tuggeranong
63.0,97.0,,,,3.4,0.0,39.0,MountGinini
38.0,70.0,,,1027.7,13.6,0.0,22.0,Tuggeranong
60.0,60.0,,,1006.7,27.6,0.0,41.0,GoldCoast
45.0,97.0,,,,18.1,0.0,11.0,Penrith
28.0,19.0,11.3,1.0,1018.5,19.6,0.0,61.0,Sydney
60.0,93.0,,,1031.5,21.2,0.2,37.0,Richmond
61.0,79.0,,,,21.1,8.8,57.0,SalmonGums
77.0,74.0,1.7,7.0,1018.0,11.8,5.8,48.0,MelbourneAirport
65.0,83.0,10.2,4.0,1024.6,19.0,0.4,,Albany
30.0,64.0,12.4,2.0,1021.9,26.1,0.0,37.0,Moree
56.0,47.0,4.2,,1009.1,20.3,0.2,63.0,Adelaide
69.0,74.0,0.0,7.0,1033.6,12.9,0.0,20.0,MelbourneAirport
24.0,48.0,10.7,3.0,1015.3,23.4,0.0,30.0,AliceSprings
84.0,77.0,4.1,8.0,1017.0,15.8,0.0,,Albany
36.0,42.0,,,1009.2,16.0,2.4,57.0,Richmond
44.0,57.0,5.4,3.0,1024.0,16.8,0.0,52.0,MountGambier
39.0,77.0,9.2,0.0,1025.8,17.8,0.0,35.0,Mildura
60.0,90.0,,7.0,1025.1,15.5,61.0,61.0,Sydney
44.0,52.0,7.1,7.0,1017.1,17.9,1.0,33.0,MelbourneAirport
30.0,50.0,11.4,,1019.7,21.8,0.0,52.0,Adelaide
98.0,77.0,,7.0,1012.9,13.2,0.0,43.0,Ballarat
70.0,82.0,,8.0,1027.3,17.5,0.0,28.0,Wollongong
62.0,94.0,,,1024.1,13.5,0.0,19.0,Tuggeranong
45.0,100.0,,,1007.7,29.4,0.2,26.0,BadgerysCreek
18.0,61.0,,2.0,1009.7,34.8,0.0,39.0,Canberra
75.0,78.0,1.9,7.0,1009.6,12.1,0.0,44.0,Moree
55.0,79.0,8.3,6.0,1014.0,26.6,3.6,46.0,Cairns
68.0,95.0,0.9,7.0,1008.8,20.2,0.0,22.0,Portland
41.0,65.0,8.5,3.0,1023.4,14.2,1.8,43.0,Sale
76.0,86.0,,,1024.2,16.7,2.8,33.0,NorahHead
91.0,84.0,0.0,,1013.0,22.7,7.2,35.0,Sydney
16.0,44.0,12.0,,1006.7,26.6,,43.0,Adelaide
46.0,99.0,9.4,,1021.1,21.4,0.0,28.0,Dartmoor
55.0,76.0,,,1027.3,13.3,0.0,44.0,Ballarat
28.0,69.0,9.4,7.0,1018.8,25.8,0.0,39.0,Nuriootpa
52.0,98.0,,,1017.3,25.6,0.2,13.0,BadgerysCreek
90.0,99.0,,,1004.5,18.7,3.0,52.0,Walpole
74.0,67.0,13.0,1.0,1012.7,21.8,0.0,,Albany
40.0,89.0,,4.0,1008.6,16.6,0.4,65.0,Mildura
87.0,87.0,0.0,7.0,1011.0,27.3,19.2,50.0,Cairns
81.0,74.0,,,1015.4,19.5,0.2,37.0,NorahHead
31.0,76.0,8.7,8.0,1010.4,21.4,0.2,57.0,Sale
23.0,48.0,12.2,6.0,1012.7,28.9,0.0,54.0,MelbourneAirport
39.0,100.0,10.0,1.0,1021.3,23.0,0.0,28.0,Watsonia
76.0,72.0,1.8,7.0,995.9,11.4,8.4,83.0,MelbourneAirport
43.0,65.0,,,1018.6,20.2,0.2,39.0,Nhil
54.0,74.0,9.1,,1032.0,14.1,0.0,24.0,Nuriootpa
,72.0,,,1020.4,,0.0,,Albany
13.0,57.0,13.1,,1016.4,34.5,0.0,39.0,Dartmoor
54.0,78.0,1.0,7.0,1015.5,14.6,0.0,33.0,MelbourneAirport
62.0,64.0,10.8,1.0,1017.2,26.1,0.0,28.0,CoffsHarbour
19.0,47.0,,1.0,1002.8,37.5,0.0,41.0,Moree
49.0,71.0,,,1018.8,18.5,0.0,31.0,Ballarat
73.0,82.0,,,1020.8,18.4,0.0,35.0,Launceston
55.0,70.0,7.4,,1023.0,20.6,,44.0,Melbourne
71.0,81.0,8.7,6.0,1018.5,22.4,0.0,,Albany
87.0,77.0,4.8,8.0,1009.4,23.3,5.6,33.0,CoffsHarbour
56.0,72.0,10.3,2.0,1009.8,30.7,0.0,30.0,Darwin
81.0,80.0,7.7,6.0,1008.2,19.9,0.0,,Albany
37.0,61.0,,,1014.4,26.4,0.0,31.0,BadgerysCreek
25.0,84.0,11.6,0.0,1013.7,35.5,0.0,26.0,Watsonia
,67.0,,,,,2.0,,Newcastle
88.0,93.0,,,1019.8,24.8,0.6,43.0,NorahHead
34.0,57.0,,2.0,1017.2,26.0,0.0,50.0,Moree
38.0,71.0,,,1018.1,17.2,0.0,43.0,Uluru
58.0,97.0,,,,10.2,6.0,35.0,MountGinini
78.0,86.0,,,1006.8,22.4,0.8,46.0,NorahHead
7.0,12.0,,,1007.5,34.7,0.0,56.0,Uluru
28.0,57.0,,,1014.7,30.2,0.0,31.0,Moree
47.0,65.0,6.9,7.0,1012.8,22.3,24.2,28.0,WaggaWagga
40.0,40.0,10.5,0.0,1016.6,24.4,0.0,39.0,Cairns
66.0,80.0,,,1018.8,23.7,0.0,37.0,BadgerysCreek
79.0,83.0,,,1006.2,29.3,2.2,30.0,Cairns
43.0,65.0,10.2,6.0,1021.5,19.0,0.0,46.0,MountGambier
34.0,69.0,,,1019.4,30.7,0.0,31.0,Albury
23.0,73.0,,,1017.7,31.8,0.0,35.0,Nhil
58.0,47.0,1.0,,1009.6,27.5,0.0,50.0,Nuriootpa
56.0,79.0,8.5,1.0,1016.1,25.5,0.0,43.0,CoffsHarbour
59.0,66.0,8.2,7.0,1013.3,28.8,0.0,46.0,Townsville
81.0,95.0,2.2,,1010.6,13.0,0.0,31.0,Dartmoor
59.0,80.0,5.5,4.0,1011.3,11.0,9.0,65.0,MountGambier
,57.0,,,1007.5,,0.0,44.0,Katherine
52.0,56.0,8.2,,1013.5,27.1,0.0,46.0,Townsville
39.0,81.0,,,,19.8,0.2,35.0,Penrith
79.0,99.0,5.5,,1010.6,9.3,10.4,59.0,Dartmoor
28.0,55.0,10.3,3.0,1007.8,31.8,0.0,39.0,Moree
26.0,59.0,,,1021.6,22.4,0.0,39.0,Cobar
46.0,55.0,10.6,1.0,1033.4,18.6,0.0,,PearceRAAF
72.0,70.0,,,1016.0,25.2,0.0,30.0,GoldCoast
74.0,71.0,,,1029.8,18.1,0.0,33.0,NorahHead
73.0,,,,,19.0,0.2,22.0,MountGinini
63.0,57.0,,8.0,1015.3,27.3,0.2,39.0,Townsville
57.0,66.0,,,1013.7,25.5,0.0,41.0,Williamtown
47.0,89.0,5.8,7.0,1017.9,20.1,30.6,48.0,Sydney
56.0,79.0,7.2,6.0,1024.0,20.3,0.0,30.0,Hobart
51.0,80.0,,,1019.9,19.7,0.0,28.0,Tuggeranong
52.0,47.0,,7.0,1005.2,16.0,0.0,63.0,Sale
24.0,51.0,,8.0,1014.6,25.8,0.0,41.0,Uluru
60.0,67.0,10.5,4.0,1016.4,19.7,0.2,56.0,SydneyAirport
31.0,55.0,11.7,,1015.6,21.8,0.0,46.0,Nuriootpa
49.0,73.0,5.2,7.0,1012.7,13.4,2.4,61.0,Watsonia
40.0,64.0,11.6,4.0,1009.5,27.1,0.0,41.0,Sale
58.0,67.0,8.4,6.0,1021.5,9.0,10.0,69.0,Nuriootpa
72.0,77.0,,,1001.1,18.4,0.0,65.0,Witchcliffe
75.0,85.0,,,1013.7,26.9,0.0,35.0,NorahHead
33.0,61.0,,,,29.1,0.0,33.0,Penrith
56.0,65.0,4.0,0.0,1024.9,12.8,2.2,33.0,Portland
36.0,44.0,,,,12.4,0.0,50.0,Penrith
69.0,80.0,7.4,7.0,1006.1,31.7,28.8,44.0,Townsville
36.0,58.0,,,1012.7,17.3,0.0,33.0,NorahHead
95.0,92.0,0.0,8.0,1016.6,21.1,8.0,31.0,PerthAirport
69.0,92.0,8.0,3.0,1019.0,14.6,0.4,43.0,Portland
62.0,87.0,8.7,2.0,1029.1,20.6,0.0,,Albany
60.0,76.0,8.8,,1009.8,22.1,0.0,54.0,Portland
40.0,58.0,,,1019.8,21.9,3.2,37.0,Witchcliffe
45.0,91.0,,,1023.9,15.7,0.2,15.0,BadgerysCreek
84.0,71.0,,8.0,1031.4,11.7,0.2,52.0,Wollongong
